中国大陆,#genre#
澳門互動新聞台,http://202.175.127.77/live/show/ch2/index.m3u8
澳門有線 CH3,http://202.175.127.77/live/show/ch3/index.m3u8

台灣,#genre#
華視 HD(1),http://125.227.198.89:8019
華視 HD(2),http://192.154.103.75:8080//ZZ_huashi/ZZ_huashi.m3u8
民視 HD,http://125.227.198.89:8015
中視 HD(1),http://125.227.198.89:8020
中視 HD(2),http://192.154.103.75:8080//ZZ_zhongshi/ZZ_zhongshi.m3u8
华視 HD,http://125.227.198.89:8019
公視 HD,http://125.227.198.89:8014
公視3 HD,https://usb.bozztv.com/ssh101/PTSTV3HD/PTSTV3HD/playlist.m3u8
原住民族電視台,https://bcovlive-a.akamaihd.net/82be3b97f67745058447484cc8a2d015/ap-southeast-1/5817780548001/profile_0/chunklist.m3u8
中天綜合 HD,http://192.154.103.75:8080/ZZ_zhongtianzonghe/ZZ_zhongtianzonghe.m3u8
台視財經 HD,https://usb.bozztv.com/ssh101/TTVHD/TTVHD/index.m3u8
寰宇新聞台,http://125.227.198.89:8026
寰宇新聞台灣台,http://125.227.198.89:8002
TVBS新聞台 HD,http://seb.sason.top/sc/tvbsxw_fhd.m3u8
東森財經新聞 HD,http://seb.sason.top/sc/dscjxw_fhd.m3u8
東森新聞 HD,http://seb.sason.top/sc/dsxw_fhd.m3u8
華視新聞資訊 HD,http://seb.sason.top/sc/hsxw_fhd.m3u8
民視新聞台 HD,http://seb.sason.top/sc/msxw_fhd.m3u8
三立iNews,http://seb.sason.top/sc/slinews_fhd.m3u8
三立Live新聞,http://seb.sason.top/sc/sllive_fhd.m3u8
台視新聞 HD,http://seb.sason.top/sc/tsxw_fhd.m3u8
中視新聞 HD,http://seb.sason.top/sc/zsxw_fhd.m3u8
中天新聞 HD,http://seb.sason.top/sc/ztxw_fhd.m3u8
中天新聞 HD,http://104.250.154.42:8080/ZZ_zhongtiannews/ZZ_zhongtiannews.m3u8
TVBS新聞台 HD,http://60.199.188.65/HLS/WG_TVBS-N/01.m3u8
東森新聞 HD,http://104.250.154.42:8080/ZZ_dongsenxinwen/ZZ_dongsenxinwen.m3u8
三立新聞 HD,http://60.199.188.65/HLS/WG_ETTV-N/01.m3u8
民視新聞台 HD,https://6.mms.vlog.xuite.net/hls/ftvtv/index.m3u8
壹新聞 HD(1),https://usb.bozztv.com/ssh101/NEXTTV/NEXTTV/playlist.m3u8
壹新聞 HD(2),https://usb.bozztv.com/ssh101/NEXTTVHD/NEXTTVHD/playlist.m3u8
年代新聞 HD,http://192.154.103.75:8080/ZZ_niandaixinwen/ZZ_niandianxinwen.m3u8
國會頻道1,http://61.58.60.230:9319/live/123.m3u8
國會頻道2,http://61.58.60.230:9319/live/124.m3u8

Global,#genre#
新唐人大陸台,http://cnhls.ntdtv.com/cn/live800/playlist.m3u8
新唐人亞太台,https://live.ntdimg.com/aplive200/playlist.m3u8
希望之聲中國廣播臺,https://livecast1.soundofhope.org:2087/soh-live
NHK华语世界,https://nhkw-zh-hlscomp.akamaized.net/8thz5iufork8wjip/playlist.m3u8
RFA 1,https://rfahls-i.akamaihd.net/hls/live/226232/RFALive_1/index.m3u8
RFI 法國國際廣播電臺,https://rfienchinois64k.ice.infomaniak.ch/rfienchinois-64.mp3
VOA美國之音,https://stream.radiojar.com/7thwu53r92quv
VOA卫视,https://voa-lh.akamaihd.net/i/voa_mpls_tvmc8@326847/master.m3u8
加拿大国家电视台,https://wowzaprodhd84-lh.akamaihd.net/i/4ae6355d_1@505999/index_2150400_av-p.m3u8
加拿大中文电视台,http://wowzaprodhd45-lh.akamaihd.net/i/96d54ef6_1@438617/index_2150400_av-b.m3u8
亞美卫视,http://dcunilive30-lh.akamaihd.net/i/dclive_1@535522/master.m3u8
美国中文电视,http://cdnmedia1.sinovision.net/247A45/live/livestream.m3u8
優視頻道,http://1-fss24-s0.streamhoster.com/lv_uchannel/_definst_/broadcast1/chunklist.m3u8
Al-Jazeera English,http://aljazeera-eng-hd-live.hls.adaptive.level3.net/aljazeera/english2/index.m3u8
Arirang,http://amdlive-ch01.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
BBC World News,http://185.176.117.243/live/eds/BBC/HLS_encr/BBC.m3u8
Bloomberg Asia,https://liveprodapnortheast.global.ssl.fastly.net/ap1/Channel-APTVqvs-AWS-tokyo-1/Source-APTVqvs-1000-1_live.m3u8
Bloomberg US,https://liveproduseast.global.ssl.fastly.net/us/Channel-USTV-AWS-virginia-1/Source-USTV-1000-1_live.m3u8
CBSN,http://cbsnewshd-lh.akamaihd.net/i/CBSNHD_7@199302/master.m3u8
CGTN,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2001656803.m3u8
CGTN Documentary,https://livedoc.cgtn.com/1000d/prog_index.m3u8
Channel News Asia,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
CNBC,https://d3sjmtxha86r3t.cloudfront.net/nbc/smil:cnbc.smil/master.m3u8
CNBC World,https://liveanevia.mncnow.id/live/eds/CNBC/sa_hls/CNBC.m3u8
CNBC 18,https://cnbctv18-lh.akamaihd.net/i/cnbctv18_1@174868/index_5_av-p.m3u8
CNN,http://ott.artmott.com/CNN/tracks-v1a1/mono.m3u8
Deutsche Welle (English),https://dwstream4-lh.akamaihd.net/i/dwstream4_live@131329/index_1_av-p.m3u8
DPRK Central Television,http://tv.nknews.org/tvhls/stream.m3u8
Euronews,https://raw.githubusercontent.com/exodiver/IPTV/master/M3U8/Token/EuroNews.m3u8
FOX News,https://fncgohls-i.akamaihd.net/hls/live/263399/FNCGOHLSv2/Fox_News_v2_VIDEO_0_2564000.m3u8
France 24,http://static.france24.com/live/F24_EN_LO_HLS/live_web.m3u8
IRIB Press TV,https://live2.presstv.com/liveprs/smil:liveprs.smil/chunklist_w2050325877_b644100_slen.m3u8
KBS 2,http://msl.tvbayoplus.com:9083/live/lmgr218-live1/GJ/qP/GJqPMui6DQrYctmZxQDeig==/live.m3u8
KBS 24,http://123.30.146.182:8080/256/video.m3u8
MBC,http://211.54.140.36/hdmi
National Geographic,http://livecdnh1.tvanywhere.ae:80/hls/nat_geo/05.m3u8
Nat Geo People,http://livecdnh1.tvanywhere.ae:80/hls/nat_geo_people/05.m3u8
Nat Geo Wild,http://livecdnh1.tvanywhere.ae:80/hls/nat_geo_wild/05.m3u8
Nippon TV News24 Japan,https://n24-cdn-live.ntv.co.jp/ch01/index.m3u8
Olympic Channel,https://ott-live.olympicchannel.com/out/u/OC1_1.m3u8
Olympic Channel 2,https://iocchannel-i.akamaihd.net/hls/live/514135/olylinear0629221316/DomesticOlympicsLinear_VIDEO_0_7064000.m3u8
RT,http://rt-news.secure.footprint.net:80/1103_2500Kb.m3u8
Россия 24(1),http://uiptv.do.am/1ufc/000000006/playlist.m3u8
Россия 24(2),http://tv-online.gtrkchita.ru:8080/hls/r24-chita_360p.m3u8
SBS International,https://streaming-a-802.cdn.nextologies.com/SBS_Live_HD/live/SBS_Live_HD_1500k/chunks.m3u8
SBS Plus International,https://streaming-a-802.cdn.nextologies.com/SBS_Plus/live/SBS_Plus_1500k/chunks.m3u8
sky news,http://skydvn-nowtv-atv-prod.skydvn.com/atv/skynews/1404/live/06.m3u8
TRT World(1),https://api.trtworld.com/livestream/v1/WcM3Oa2LHD9iUjWDSRUI335NkMWVTUV351H56dqC/master.m3u8
TRT World(2),https://trtcanlitv-lh.akamaihd.net/i/TRTWORLD_1@321783/master.m3u8
YTN,http://slive.ytn.co.kr/ytn/_definst_/ytn_stream_20190306/playlist.m3u8
YTN Korean,http://ytnmmd.mmdlive.lldns.net/ytnmmd/9484b70302db4786886ae40308bf45a1/playlist.m3u8
新唐人美東台,https://live.ntdimg.com/live400/playlist.m3u8
新唐人美西台,https://live.ntdimg.com/uwlive990/playlist.m3u8
新唐人加東台,https://live.ntdimg.com/mllive860/playlist.m3u8
新唐人加西台,https://live.ntdimg.com/cwlive220/playlist.m3u8
新唐人舊金山台,https://live.ntdimg.com/sflive990/playlist.m3u8
新唐人休斯頓台,https://live.ntdimg.com/htlive480/playlist.m3u8

H265,#genre#
CCTV1,http://125.210.152.18:9090/live/CCTV1HD_H265.m3u8
CCTV2,http://125.210.152.18:9090/live/CCTV2HD_H265.m3u8
CCTV3,http://125.210.152.18:9090/live/CCTV3HD_H265.m3u8
CCTV5,http://125.210.152.18:9090/live/CCTV5HD_H265.m3u8
CCTV6,http://125.210.152.18:9090/live/CCTV6HD_H265.m3u8
CCTV7,http://125.210.152.18:9090/live/CCTV7HD_H265.m3u8
CCTV8,http://125.210.152.18:9090/live/CCTV8HD_H265.m3u8
CCTV9,http://125.210.152.18:9090/live/CCTVJLHD_H265.m3u8
CCTV10,http://125.210.152.18:9090/live/CCTV10HD_H265.m3u8
CCTV12,http://125.210.152.18:9090/live/CCTV12HD_H265.m3u8
北京卫视,http://125.210.152.18:9090/live/BJWSHD_H265.m3u8
湖南卫视,http://125.210.152.18:9090/live/HNWSHD_H265.m3u8
东方卫视,http://125.210.152.18:9090/live/DFWSHD_H265.m3u8
江苏卫视,http://125.210.152.18:9090/live/JSWSHD_H265.m3u8
安徽卫视,http://125.210.152.18:9090/live/AHWSHD_H265.m3u8
广东卫视,http://125.210.152.18:9090/live/GDWSHD_H265.m3u8
深圳卫视,http://125.210.152.18:9090/live/SZWSHD_H265.m3u8
天津卫视,http://125.210.152.18:9090/live/TJWSHD_H265.m3u8
山东卫视,http://125.210.152.18:9090/live/SDWSHD_H265.m3u8
河北卫视,http://125.210.152.18:9090/live/HBWSHD_H265.m3u8
贵州卫视,http://125.210.152.18:9090/live/GZWSHD_H265.m3u8
江西卫视,http://125.210.152.18:9090/live/JXWSHD_H265.m3u8
四川卫视,http://125.210.152.18:9090/live/SCWSHD_H265.m3u8
东南卫视,http://125.210.152.18:9090/live/DNWSHD_H265.m3u8

NewTV,#genre#
NewTV-中国功夫,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226321/1.m3u8
NewTV-古装剧场,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226323/1.m3u8
NewTV-动作电影,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225915/1.m3u8
